New York,010 XXX XXXX
Los Angeles,011 XXX XXXX
Houston,012 XXX XXXX
Chicago,013 XXX XXXX
New York,014 XXX XXXX
San Antonio,015 XXX XXXX
Phoenix,016 XXX XXXX
Houston,017 XXX XXXX
San Diego,018 XXX XXXX
San Antonio,019 XXX XXXX
Chicago,020 XXX XXXX
Dallas,021 XXX XXXX
Chicago,022 XXX XXXX
Austin,023 XXX XXXX
Philadelphia,024 XXX XXXX
Phoenix,025 XXX XXXX
El Paso,026 XXX XXXX
Fort Worth,027 XXX XXXX
Indianapolis,028 XXX XXXX
Dallas,029 XXX XXXX
Columbus,030 XXX XXXX
Denver,031 XXX XXXX
Detroit,032 XXX XXXX
Jacksonville,033 XXX XXXX
El Paso,034 XXX XXXX
Houston,035 XXX XXXX
Portland,036 XXX XXXX
Los Angeles,037 XXX XXXX
Seattle,038 XXX XXXX
Oklahoma City,039 XXX XXXX
Charlotte,040 XXX XXXX
San Jose,041 XXX XXXX
San Francisco,042 XXX XXXX
Nashville,043 XXX XXXX
Las Vegas,044 XXX XXXX
San Diego,045 XXX XXXX
Memphis,046 XXX XXXX
Mesa,047 XXX XXXX
Albuquerque,048 XXX XXXX
Los Angeles,049 XXX XXXX
Tucson,050 XXX XXXX
Baltimore,051 XXX XXXX
San Jose,052 XXX XXXX
Boston,053 XXX XXXX
Colorado Springs,054 XXX XXXX
Omaha,055 XXX XXXX
Miami,056 XXX XXXX
San Juan,057 XXX XXXX
San Jose,058 XXX XXXX
Washington,059 XXX XXXX
Austin,060 XXX XXXX
Fresno,061 XXX XXXX
Virginia Beach,062 XXX XXXX
San Francisco,063 XXX XXXX
Dallas,064 XXX XXXX
Miami,065 XXX XXXX
Wichita,066 XXX XXXX
Charlotte,067 XXX XXXX
Milwaukee,068 XXX XXXX
Kansas City,069 XXX XXXX
Fort Worth,070 XXX XXXX
Corpus Christi,071 XXX XXXX
Washington,072 XXX XXXX
Jacksonville,073 XXX XXXX
Tulsa,074 XXX XXXX
Long Beach,075 XXX XXXX
Minneapolis,076 XXX XXXX
